
==================== Starting Pipeline Iteration 0/10 ====================
--- Self-Play Stage (Model 0 -> Data 0) ---
=== Multi-process Self-Play Start ===
Workers: 8 | Total Episodes: 200 | MCTS Iters: 2000
----------------------------------------------------------------------
[Episode  29] Finished | Winner: White (2) | Moves:  14 | Time: 155.8s
[Episode   1] Finished | Winner: White (2) | Moves:  26 | Time: 217.8s
[Episode  50] Finished | Winner: Black (1) | Moves:  21 | Time: 226.6s
[Episode  43] Finished | Winner: White (2) | Moves:  24 | Time: 249.1s
[Episode  22] Finished | Winner: Black (1) | Moves:  41 | Time: 251.2s
[Episode   8] Finished | Winner: Black (1) | Moves:  33 | Time: 302.8s
[Episode  36] Finished | Winner: Black (1) | Moves:  47 | Time: 320.7s
[Episode   2] Finished | Winner: White (2) | Moves:  18 | Time: 150.7s
[Episode  15] Finished | Winner: Black (1) | Moves:  43 | Time: 376.1s
[Episode  30] Finished | Winner: White (2) | Moves:  24 | Time: 231.1s
[Episode   9] Finished | Winner: White (2) | Moves:  22 | Time: 207.1s
[Episode  23] Finished | Winner: White (2) | Moves:  30 | Time: 260.6s
[Episode  51] Finished | Winner: Black (1) | Moves:  33 | Time: 311.8s
[Episode  44] Finished | Winner: White (2) | Moves:  38 | Time: 297.3s
[Episode  16] Finished | Winner: Black (1) | Moves:  21 | Time: 174.7s
[Episode   3] Finished | Winner: Black (1) | Moves:  27 | Time: 225.4s
[Episode  37] Finished | Winner: White (2) | Moves:  46 | Time: 368.1s
[Episode  24] Finished | Winner: White (2) | Moves:  28 | Time: 217.3s
[Episode  31] Finished | Winner: White (2) | Moves:  44 | Time: 370.7s
[Episode  10] Finished | Winner: White (2) | Moves:  36 | Time: 302.9s
[Episode  52] Finished | Winner: Black (1) | Moves:  31 | Time: 289.8s
[Episode  45] Finished | Winner: White (2) | Moves:  40 | Time: 292.0s
[Episode  17] Finished | Winner: Black (1) | Moves:  31 | Time: 294.3s
[Episode  38] Finished | Winner: Black (1) | Moves:  23 | Time: 223.4s
[Episode   4] Finished | Winner: Draw      | Moves:  64 | Time: 352.3s
[Episode  25] Finished | Winner: White (2) | Moves:  26 | Time: 227.4s
[Episode  32] Finished | Winner: Black (1) | Moves:  31 | Time: 266.2s
[Episode  46] Finished | Winner: Black (1) | Moves:  27 | Time: 246.3s
[Episode  11] Finished | Winner: Black (1) | Moves:  37 | Time: 278.6s
[Episode  53] Finished | Winner: Black (1) | Moves:  33 | Time: 300.2s
[Episode  18] Finished | Winner: Black (1) | Moves:  47 | Time: 303.3s
[Episode   5] Finished | Winner: Black (1) | Moves:  23 | Time: 210.3s
[Episode  39] Finished | Winner: Black (1) | Moves:  39 | Time: 303.0s
[Episode  33] Finished | Winner: White (2) | Moves:  32 | Time: 242.0s
[Episode  26] Finished | Winner: Black (1) | Moves:  49 | Time: 327.9s
[Episode  12] Finished | Winner: White (2) | Moves:  22 | Time: 213.7s
[Episode  54] Finished | Winner: Black (1) | Moves:  29 | Time: 276.6s
[Episode  47] Finished | Winner: White (2) | Moves:  44 | Time: 332.5s
[Episode  19] Finished | Winner: Black (1) | Moves:  33 | Time: 304.6s
[Episode   6] Finished | Winner: White (2) | Moves:  42 | Time: 333.5s
[Episode  27] Finished | Winner: Black (1) | Moves:  25 | Time: 219.5s
[Episode  40] Finished | Winner: White (2) | Moves:  42 | Time: 303.7s
[Episode  13] Finished | Winner: Black (1) | Moves:  23 | Time: 214.6s
[Episode  34] Finished | Winner: Black (1) | Moves:  33 | Time: 309.0s
[Episode  55] Finished | Winner: White (2) | Moves:  20 | Time: 181.0s
[Episode  48] Finished | Winner: Black (1) | Moves:  17 | Time: 187.3s
[Episode  20] Finished | Winner: White (2) | Moves:  32 | Time: 288.2s
[Episode   7] Finished | Winner: Black (1) | Moves:  29 | Time: 263.8s
[Episode  28] Finished | Winner: Black (1) | Moves:  29 | Time: 278.5s
[Episode  14] Finished | Winner: White (2) | Moves:  40 | Time: 321.9s
[Episode  41] Finished | Winner: Black (1) | Moves:  33 | Time: 327.6s
[Episode  56] Finished | Winner: Black (1) | Moves:  43 | Time: 332.0s
[Episode  35] Finished | Winner: White (2) | Moves:  44 | Time: 352.3s
[Episode  49] Finished | Winner: White (2) | Moves:  52 | Time: 362.0s
[Episode  21] Finished | Winner: White (2) | Moves:  32 | Time: 254.1s
[Episode  71] Finished | Winner: Black (1) | Moves:  23 | Time: 216.2s
[Episode  64] Finished | Winner: Black (1) | Moves:  43 | Time: 309.7s
[Episode  57] Finished | Winner: Black (1) | Moves:  61 | Time: 345.1s
[Episode  42] Finished | Winner: Black (1) | Moves:  31 | Time: 296.4s
[Episode  78] Finished | Winner: White (2) | Moves:  34 | Time: 320.2s
[Episode  92] Finished | Winner: Black (1) | Moves:  29 | Time: 297.0s
[Episode  72] Finished | Winner: White (2) | Moves:  26 | Time: 221.5s
[Episode  85] Finished | Winner: Black (1) | Moves:  39 | Time: 358.3s
[Episode  65] Finished | Winner: Black (1) | Moves:  19 | Time: 204.7s
[Episode  99] Finished | Winner: Draw      | Moves:  64 | Time: 367.6s
[Episode  58] Finished | Winner: Black (1) | Moves:  41 | Time: 302.0s
[Episode 106] Finished | Winner: Black (1) | Moves:  31 | Time: 270.8s
[Episode  93] Finished | Winner: Black (1) | Moves:  31 | Time: 213.5s
[Episode  79] Finished | Winner: Black (1) | Moves:  31 | Time: 291.4s
[Episode  73] Finished | Winner: White (2) | Moves:  58 | Time: 279.0s
[Episode  66] Finished | Winner: White (2) | Moves:  34 | Time: 304.8s
[Episode  86] Finished | Winner: White (2) | Moves:  38 | Time: 317.9s
[Episode  59] Finished | Winner: Black (1) | Moves:  27 | Time: 207.6s
[Episode 100] Finished | Winner: Black (1) | Moves:  29 | Time: 298.4s
[Episode  80] Finished | Winner: Black (1) | Moves:  13 | Time: 135.1s
[Episode  94] Finished | Winner: White (2) | Moves:  26 | Time: 223.6s
[Episode 107] Finished | Winner: White (2) | Moves:  48 | Time: 301.9s
[Episode  74] Finished | Winner: White (2) | Moves:  28 | Time: 214.2s
[Episode  67] Finished | Winner: White (2) | Moves:  20 | Time: 209.3s
[Episode  95] Finished | Winner: Black (1) | Moves:  15 | Time: 144.9s
[Episode  81] Finished | Winner: White (2) | Moves:  26 | Time: 249.2s
[Episode  87] Finished | Winner: White (2) | Moves:  40 | Time: 312.2s
[Episode  60] Finished | Winner: Black (1) | Moves:  37 | Time: 321.2s
[Episode 101] Finished | Winner: Black (1) | Moves:  47 | Time: 318.1s
[Episode  75] Finished | Winner: White (2) | Moves:  24 | Time: 213.7s
[Episode 108] Finished | Winner: White (2) | Moves:  38 | Time: 348.2s
[Episode  96] Finished | Winner: White (2) | Moves:  24 | Time: 225.0s
[Episode  68] Finished | Winner: Black (1) | Moves:  41 | Time: 297.9s
[Episode  61] Finished | Winner: Black (1) | Moves:  31 | Time: 240.6s
[Episode 102] Finished | Winner: Black (1) | Moves:  31 | Time: 272.5s
[Episode  76] Finished | Winner: White (2) | Moves:  50 | Time: 286.6s
[Episode  97] Finished | Winner: Black (1) | Moves:  25 | Time: 225.4s
[Episode  88] Finished | Winner: Black (1) | Moves:  59 | Time: 384.2s
[Episode  82] Finished | Winner: White (2) | Moves:  56 | Time: 392.2s
[Episode  69] Finished | Winner: White (2) | Moves:  28 | Time: 248.9s
[Episode 109] Finished | Winner: White (2) | Moves:  44 | Time: 308.6s
[Episode  62] Finished | Winner: White (2) | Moves:  32 | Time: 269.4s
[Episode 103] Finished | Winner: White (2) | Moves:  20 | Time: 211.9s
[Episode  77] Finished | Winner: Black (1) | Moves:  25 | Time: 212.1s
[Episode  89] Finished | Winner: Black (1) | Moves:  23 | Time: 237.5s
[Episode  98] Finished | Winner: White (2) | Moves:  32 | Time: 295.0s
[Episode  83] Finished | Winner: White (2) | Moves:  44 | Time: 309.3s
[Episode 110] Finished | Winner: White (2) | Moves:  42 | Time: 324.0s
[Episode 113] Finished | Winner: White (2) | Moves:  24 | Time: 216.1s
[Episode  70] Finished | Winner: Black (1) | Moves:  51 | Time: 348.0s
[Episode  63] Finished | Winner: White (2) | Moves:  34 | Time: 283.3s
[Episode 104] Finished | Winner: White (2) | Moves:  38 | Time: 300.3s
[Episode  90] Finished | Winner: Black (1) | Moves:  35 | Time: 293.9s
[Episode 120] Finished | Winner: Black (1) | Moves:  29 | Time: 266.7s
[Episode  84] Finished | Winner: Black (1) | Moves:  29 | Time: 285.2s
[Episode 105] Finished | Winner: White (2) | Moves:  20 | Time: 220.2s
[Episode 111] Finished | Winner: White (2) | Moves:  32 | Time: 296.3s
[Episode 114] Finished | Winner: White (2) | Moves:  38 | Time: 302.4s
[Episode 127] Finished | Winner: Black (1) | Moves:  37 | Time: 309.1s
[Episode 134] Finished | Winner: White (2) | Moves:  48 | Time: 323.3s
[Episode  91] Finished | Winner: White (2) | Moves:  22 | Time: 217.8s
[Episode 121] Finished | Winner: Black (1) | Moves:  27 | Time: 263.5s
[Episode 141] Finished | Winner: Black (1) | Moves:  27 | Time: 261.7s
[Episode 148] Finished | Winner: White (2) | Moves:  22 | Time: 197.9s
[Episode 112] Finished | Winner: White (2) | Moves:  30 | Time: 260.5s
[Episode 135] Finished | Winner: Black (1) | Moves:  41 | Time: 289.9s
[Episode 122] Finished | Winner: Black (1) | Moves:  21 | Time: 216.7s
[Episode 115] Finished | Winner: White (2) | Moves:  58 | Time: 348.9s
[Episode 128] Finished | Winner: White (2) | Moves:  52 | Time: 338.2s
[Episode 142] Finished | Winner: White (2) | Moves:  22 | Time: 191.6s
[Episode 155] Finished | Winner: Black (1) | Moves:  49 | Time: 338.4s
[Episode 149] Finished | Winner: Black (1) | Moves:  37 | Time: 309.2s
[Episode 162] Finished | Winner: Black (1) | Moves:  31 | Time: 302.8s
[Episode 129] Finished | Winner: White (2) | Moves:  28 | Time: 254.3s
[Episode 116] Finished | Winner: White (2) | Moves:  34 | Time: 284.7s
[Episode 136] Finished | Winner: White (2) | Moves:  36 | Time: 325.4s
[Episode 123] Finished | Winner: Black (1) | Moves:  39 | Time: 345.6s
[Episode 150] Finished | Winner: Black (1) | Moves:  21 | Time: 221.6s
[Episode 143] Finished | Winner: Black (1) | Moves:  47 | Time: 362.4s
[Episode 156] Finished | Winner: Black (1) | Moves:  39 | Time: 364.3s
[Episode 163] Finished | Winner: Black (1) | Moves:  25 | Time: 240.9s
[Episode 117] Finished | Winner: Black (1) | Moves:  17 | Time: 164.6s
[Episode 130] Finished | Winner: Black (1) | Moves:  31 | Time: 250.1s
[Episode 137] Finished | Winner: Black (1) | Moves:  39 | Time: 324.9s
[Episode 151] Finished | Winner: Black (1) | Moves:  27 | Time: 286.8s
[Episode 124] Finished | Winner: Black (1) | Moves:  41 | Time: 336.0s
[Episode 157] Finished | Winner: White (2) | Moves:  34 | Time: 272.8s
[Episode 131] Finished | Winner: White (2) | Moves:  18 | Time: 186.4s
[Episode 164] Finished | Winner: White (2) | Moves:  32 | Time: 262.9s
[Episode 144] Finished | Winner: Black (1) | Moves:  41 | Time: 344.9s
